Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
39,1.2487,390,0.1427,1,206,95,0.44745433
29,1.6297,270,0.1405,5,222,79,0.43570312
37,1.9294,338,0.1382,8,199,102,0.44451258
39,2.0313,380,0.136,0,200,101,0.47326938
35,1.9353,336,0.1337,6,206,95,0.39726156
35,1.9594,338,0.1315,4,202,99,0.4456367
36,1.9308,348,0.1292,3,191,110,0.5200316
40,1.9938,388,0.127,3,195,106,0.54825779
37,1.9368,342,0.1247,7,203,98,0.51967259
37,1.9271,324,0.1225,9,191,110,0.50815686
36,1.9518,330,0.1202,10,196,105,0.46603389
37,1.9477,362,0.118,2,184,117,0.46518716
38,1.9652,380,0.1157,0,200,101,0.42095668
37,1.8079,360,0.1135,0,207,94,0.48796372
36,1.5178,366,0.1112,2,195,106,0.46518964
38,1.9451,380,0.109,0,204,97,0.4641798
42,1.9421,412,0.1067,2,213,88,0.46143053
34,1.9151,340,0.1045,0,209,92,0.43889457
36,1.7486,348,0.1022,3,216,85,0.40369413
