Score, Time, Reward, Epsilon, Bumps, Steps, Rotations
30, 1.8468, 284.0000, 0.2372, 21, 210, 91
29, 1.8696, 290.0000, 0.2350, 1, 158, 143
34, 1.7866, 338.0000, 0.2327, 5, 182, 119
31, 1.8053, 309.0000, 0.2305, 5, 189, 112
29, 1.7736, 288.0000, 0.2282, 3, 190, 111
31, 1.7846, 303.0000, 0.2260, 8, 184, 117
31, 1.8606, 306.0000, 0.2237, 9, 196, 105
35, 1.7799, 330.0000, 0.2215, 10, 158, 143
35, 1.9793, 360.0000, 0.2192, 1, 191, 110
33, 1.9169, 328.0000, 0.2170, 4, 189, 112
32, 1.9004, 316.0000, 0.2147, 9, 209, 92
37, 1.7794, 352.0000, 0.2125, 23, 198, 103
36, 1.7179, 357.0000, 0.2102, 4, 210, 91
35, 1.1642, 347.0000, 0.2080, 6, 216, 85
41, 1.4797, 407.0000, 0.2057, 5, 224, 77
34, 1.8221, 340.0000, 0.2035, 3, 173, 128
36, 1.8396, 350.0000, 0.2012, 3, 195, 106
36, 1.7911, 359.0000, 0.1990, 3, 200, 101
32, 1.8369, 308.0000, 0.1967, 18, 194, 107
34, 1.8746, 350.0000, 0.1945, 0, 194, 107
35, 1.9440, 349.0000, 0.1922, 3, 184, 117
31, 2.1074, 294.0000, 0.1900, 18, 207, 94
37, 1.9257, 362.0000, 0.1877, 12, 210, 91
34, 1.9208, 328.0000, 0.1855, 19, 219, 82
38, 1.9881, 376.0000, 0.1832, 6, 216, 85
32, 1.9020, 314.0000, 0.1810, 10, 181, 120
37, 1.9692, 366.0000, 0.1787, 11, 222, 79
34, 1.9516, 338.0000, 0.1765, 3, 187, 114
28, 1.8748, 276.0000, 0.1742, 7, 175, 126
34, 1.9352, 337.0000, 0.1720, 5, 184, 117
36, 1.7904, 348.0000, 0.1697, 3, 191, 110
38, 1.9677, 389.0000, 0.1675, 3, 207, 94
40, 2.0223, 386.0000, 0.1652, 4, 218, 83
35, 2.1782, 354.0000, 0.1630, 7, 213, 88
36, 2.1206, 354.0000, 0.1607, 12, 226, 75
40, 1.8599, 397.0000, 0.1585, 8, 231, 70
38, 1.7792, 369.0000, 0.1562, 23, 235, 66
36, 1.7121, 340.0000, 0.1540, 16, 225, 76
37, 1.7210, 369.0000, 0.1517, 22, 232, 69
40, 1.6695, 396.0000, 0.1495, 11, 218, 83
34, 1.6865, 331.0000, 0.1472, 15, 202, 99
35, 1.6625, 341.0000, 0.1450, 17, 219, 82
35, 1.6682, 341.0000, 0.1427, 16, 200, 101
30, 1.6688, 295.0000, 0.1405, 14, 215, 86
35, 1.6640, 340.0000, 0.1382, 17, 224, 77
34, 1.6658, 336.0000, 0.1360, 11, 232, 69
34, 1.6739, 335.0000, 0.1337, 11, 231, 70
34, 1.6601, 333.0000, 0.1315, 16, 227, 74
30, 1.6633, 296.0000, 0.1292, 9, 193, 108
37, 1.6848, 368.0000, 0.1270, 7, 205, 96
30, 1.7185, 286.0000, 0.1247, 10, 206, 95
34, 1.6973, 338.0000, 0.1225, 21, 198, 103
40, 1.6914, 389.0000, 0.1202, 6, 225, 76
39, 1.7789, 395.0000, 0.1180, 9, 228, 73
32, 1.6685, 312.0000, 0.1157, 12, 207, 94
34, 1.1422, 327.0000, 0.1135, 22, 239, 62
34, 1.6901, 333.0000, 0.1112, 15, 213, 88
37, 1.6806, 364.0000, 0.1090, 15, 240, 61
33, 1.6983, 327.0000, 0.1067, 13, 213, 88
36, 1.7225, 354.0000, 0.1045, 16, 219, 82
35, 1.6858, 347.0000, 0.1022, 7, 221, 80
